brand,carname,carimg,salevolume,price,manufacturer,carmodel,energytype,marketime,insure,series_id
特斯拉,Model Y,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/31b02aeb33334fb28e2c34dd81ed4528~tplv-resize:640:0.png?psm=motor.rank.data,39827,26.35-31.35万,特斯拉中国,中型SUV,纯电动,未知,4年或8万公里,4363
吉利银河,星愿,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/ac8a5ee1d8774df59ccd8aaa375fac7e~tplv-resize:640:0.png?psm=motor.rank.data,30953,5.98-8.98万,吉利银河,小型车,纯电动,未知,6年或15万公里,20154
日产,轩逸,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/b4fb6a87e743456b85258d35e894b3f2~tplv-resize:640:0.png?psm=motor.rank.data,28093,6.19-14.19万,东风日产,紧凑型车,汽油,未知,3年或10万公里,1145
理想汽车,理想i6,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/23bca80155b2406abca7b473c8e85691~tplv-resize:640:0.png?psm=motor.rank.data,24198,24.98-26.98万,理想汽车,中大型SUV,纯电动,未知,5年或10万公里,25557
比亚迪,元UP,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/f3bd2e9744044187b726b05ecccdce42~tplv-resize:640:0.png?psm=motor.rank.data,21538,6.98-10.68万,比亚迪,小型SUV,纯电动,未知,6年或15万公里,9689
大众,朗逸,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/32129dbc6b824b1abf2e2388c1890b95~tplv-resize:640:0.png?psm=motor.rank.data,19939,7.1-11.29万,上汽大众,紧凑型车,汽油,未知,3年或10万公里,393
吉利汽车,博越L,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/185e56933ef94d3a8ff2e319c3c52829~tplv-resize:640:0.png?psm=motor.rank.data,17402,9.29-11.99万,吉利汽车,紧凑型SUV,汽油,未知,4年或10万公里,6025
比亚迪,海豚,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/dc616c2ab21c47d9beddc2c940f8828d~tplv-resize:640:0.png?psm=motor.rank.data,17291,8.38-11.78万,比亚迪,小型车,纯电动,未知,6年或15万公里,5008
丰田,凯美瑞,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/2aab00ba5d8d42378373ea6a304e0c3d~tplv-resize:640:0.png?psm=motor.rank.data,17069,13.88-22.68万,广汽丰田,中型车,汽油,未知,3年或10万公里,535
大众,速腾,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/15379fc13832440dadce67e9c325d1ea~tplv-resize:640:0.png?psm=motor.rank.data,16891,7.98-13.19万,一汽-大众,紧凑型车,汽油,未知,3年或10万公里,414
深蓝汽车,深蓝S05,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/7a0815248ed74d30931d95eb907b6b6a~tplv-resize:640:0.png?psm=motor.rank.data,16881,10.69-13.69万,深蓝汽车,紧凑型SUV,纯电动,未知,3年或12万公里,10213
五菱汽车,五菱宏光MINIEV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/314658fdd5d14cb89ecbbb0500b0d0ce~tplv-resize:640:0.png?psm=motor.rank.data,16806,3.53-5.18万,上汽通用五菱,微型车,纯电动,未知,3年或12万公里,4499
特斯拉,Model 3,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/f1cb1d06a54f44e0a4b8c7eefd1791cd~tplv-resize:640:0.png?psm=motor.rank.data,16280,23.55-33.95万,特斯拉中国,中型车,纯电动,未知,4年或8万公里,3762
蔚来,蔚来ES8,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/4fcf3687c3ad4a38b35a6abdfbc9e0a0~tplv-resize:640:0.png?psm=motor.rank.data,16255,40.68-44.68万,蔚来,大型SUV,纯电动,未知,3年或12万公里,1616
大众,帕萨特,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/b4285df0389c47399c7f0fa8d52a8334~tplv-resize:640:0.png?psm=motor.rank.data,16067,13.85-28.38万,上汽大众,中型车,汽油,未知,3年或10万公里,398
大众,探岳,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/7eefe32d76bd4d3a97d5a24b520a2df7~tplv-resize:640:0.png?psm=motor.rank.data,15897,13.19-20.49万,一汽-大众,中型SUV,汽油,未知,3年或10万公里,2835
丰田,锋兰达,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/334cd231b5094a5f914ba7d0d591db05~tplv-resize:640:0.png?psm=motor.rank.data,15470,8.78-14.68万,广汽丰田,紧凑型SUV,汽油,未知,3年或10万公里,5369
丰田,RAV4荣放,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/e8651090ef4344d1be51b524ff1904bf~tplv-resize:640:0.png?psm=motor.rank.data,14662,14.68-23.88万,一汽丰田,紧凑型SUV,汽油,未知,3年或10万公里,546
大众,途观L,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/531775569f224f82a4f363c9ae6461f7~tplv-resize:640:0.png?psm=motor.rank.data,14581,13.78-21.78万,上汽大众,中型SUV,汽油,未知,3年或10万公里,404
奔驰,奔驰GLC,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/99afdf53229145caadf53e1be4f54ff5~tplv-resize:640:0.png?psm=motor.rank.data,14550,26.18-40.28万,北京奔驰,中型SUV,48V轻混系统,未知,3年不限公里,216
奔驰,奔驰E级,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/9b08b1c3602645d7ad7574aeb71b6ce3~tplv-resize:640:0.png?psm=motor.rank.data,14545,26.08-45.98万,北京奔驰,中大型车,48V轻混系统,未知,3年不限公里,214
比亚迪,海鸥,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/c9079d51a70f4fcd998ca89ad7badb57~tplv-resize:640:0.png?psm=motor.rank.data,14409,6.68-8.28万,比亚迪,小型车,纯电动,未知,6年或15万公里,5952
方程豹,钛7 PHEV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/3bb475c050b541e494e0fc3c10da4d40~tplv-resize:640:0.png?psm=motor.rank.data,14187,17.98-21.98万,方程豹,中大型SUV,插电式混合动力,未知,6年或15万公里,25559
比亚迪,宋Pro DM,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/a43ad8cbf8684f2b93e632546a8343cc~tplv-resize:640:0.png?psm=motor.rank.data,14043,8.78-12.78万,比亚迪,紧凑型SUV,插电式混合动力,未知,6年或15万公里,3504
名爵,MG4,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/060d2565ceea40fca95c269f4a69aca6~tplv-resize:640:0.png?psm=motor.rank.data,14007,6.58-9.98万,上汽集团,紧凑型车,纯电动,未知,6年或15万公里,5828
长安,长安CS75 PLUS,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/ca979536da2c4cadb64281d0f33886d0~tplv-resize:640:0.png?psm=motor.rank.data,13653,8.99-12.49万,长安汽车,紧凑型SUV,汽油,未知,3年或10万公里,3196
比亚迪,海狮06EV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/2f4d4de44df0441383cd118517635fda~tplv-resize:640:0.png?psm=motor.rank.data,13584,14.38-17.99万,比亚迪,中型SUV,纯电动,未知,6年或15万公里,25400
小米汽车,小米YU7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/d7ff66203a754169bf75cb1f0f713420~tplv-resize:640:0.png?psm=motor.rank.data,13558,25.35-32.99万,小米汽车,中大型SUV,纯电动,未知,5年或10万公里,20041
丰田,卡罗拉锐放,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/ed29d140eaba4685b466b69482e34e3b~tplv-resize:640:0.png?psm=motor.rank.data,13555,9.38-15.18万,一汽丰田,紧凑型SUV,汽油,未知,3年或10万公里,5382
大众,迈腾,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/af209a0bc7a548a89dc86b1062cac9c7~tplv-resize:640:0.png?psm=motor.rank.data,13048,11.99-21.69万,一汽-大众,中型车,汽油,未知,3年或10万公里,415
吉利汽车,星越L,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/588bea89ef084984b66a2ee353b261ff~tplv-resize:640:0.png?psm=motor.rank.data,12940,12.47-16.47万,吉利汽车,紧凑型SUV,汽油,未知,5年或15万公里,4857
