brand,carname,carimg,salevolume,price,manufacturer,carmodel,energytype,marketime,insure
吉利银河,星愿,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/ac8a5ee1d8774df59ccd8aaa375fac7e~tplv-resize:640:0.png?psm=motor.rank.data,27362,"[8.98, 5.98]",吉利银河,小型车,纯电动,2025.10,6年或15万公里
特斯拉,Model Y,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/31b02aeb33334fb28e2c34dd81ed4528~tplv-resize:640:0.png?psm=motor.rank.data,25286,"[31.35, 26.35]",特斯拉中国,中型SUV,纯电动,2026.01,4年或8万公里
小米汽车,小米YU7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/d7ff66203a754169bf75cb1f0f713420~tplv-resize:640:0.png?psm=motor.rank.data,20196,"[32.99, 25.35]",小米汽车,中大型SUV,纯电动,2025.06,5年或10万公里
吉利汽车,博越L,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/185e56933ef94d3a8ff2e319c3c52829~tplv-resize:640:0.png?psm=motor.rank.data,19363,"[11.99, 9.29]",吉利汽车,紧凑型SUV,汽油,2026.04,4年或10万公里
大众,朗逸,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/32129dbc6b824b1abf2e2388c1890b95~tplv-resize:640:0.png?psm=motor.rank.data,16111,"[11.29, 7.1]",上汽大众,紧凑型车,汽油,2026.01,3年或10万公里
理想汽车,理想i6,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/23bca80155b2406abca7b473c8e85691~tplv-resize:640:0.png?psm=motor.rank.data,16007,"[26.98, 24.98]",理想汽车,中大型SUV,纯电动,2025.09,5年或10万公里
长安,长安CS75 PLUS,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/ca979536da2c4cadb64281d0f33886d0~tplv-resize:640:0.png?psm=motor.rank.data,14219,"[12.49, 8.99]",长安汽车,紧凑型SUV,汽油,2025.10,3年或10万公里
大众,帕萨特,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/b4285df0389c47399c7f0fa8d52a8334~tplv-resize:640:0.png?psm=motor.rank.data,13988,"[28.38, 13.85]",上汽大众,中型车,汽油,2025.09,3年或10万公里
大众,速腾,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/15379fc13832440dadce67e9c325d1ea~tplv-resize:640:0.png?psm=motor.rank.data,13803,"[13.19, 7.98]",一汽-大众,紧凑型车,汽油,2025.09,3年或10万公里
奇瑞,瑞虎8,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/8948b3d3dd0847c8ae890e92abf22cfc~tplv-resize:640:0.png?psm=motor.rank.data,13488,"[12.29, 7.99]",奇瑞汽车,中型SUV,汽油,2025.11,3年或10万公里
特斯拉,Model 3,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/f1cb1d06a54f44e0a4b8c7eefd1791cd~tplv-resize:640:0.png?psm=motor.rank.data,12920,"[33.95, 23.55]",特斯拉中国,中型车,纯电动,2025.10,4年或8万公里
大众,途观L,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/531775569f224f82a4f363c9ae6461f7~tplv-resize:640:0.png?psm=motor.rank.data,12477,"[21.78, 13.78]",上汽大众,中型SUV,汽油,2026.04,3年或10万公里
吉利汽车,星瑞,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/0bd351ca4fbb43e88ce265d8f0b869fb~tplv-resize:640:0.png?psm=motor.rank.data,12411,"[13.67, 8.97]",吉利汽车,紧凑型车,汽油,2025.09,4年或10万公里
奇瑞,艾瑞泽8,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/c98a0ac532b542958b9970362fa2c378~tplv-resize:640:0.png?psm=motor.rank.data,12130,"[12.89, 8.99]",奇瑞汽车,紧凑型车,汽油,2025.03,3年或10万公里
丰田,锋兰达,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/334cd231b5094a5f914ba7d0d591db05~tplv-resize:640:0.png?psm=motor.rank.data,12043,"[14.68, 8.78]",广汽丰田,紧凑型SUV,汽油,2025.09,3年或10万公里
方程豹,钛7 PHEV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/3bb475c050b541e494e0fc3c10da4d40~tplv-resize:640:0.png?psm=motor.rank.data,11693,"[21.98, 17.98]",方程豹,中大型SUV,插电式混合动力,2025.09,6年或15万公里
蔚来,蔚来ES8,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/4fcf3687c3ad4a38b35a6abdfbc9e0a0~tplv-resize:640:0.png?psm=motor.rank.data,11260,"[44.68, 40.68]",蔚来,大型SUV,纯电动,2025.09,3年或12万公里
大众,迈腾,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/af209a0bc7a548a89dc86b1062cac9c7~tplv-resize:640:0.png?psm=motor.rank.data,11232,"[21.69, 11.99]",一汽-大众,中型车,汽油,2025.10,3年或10万公里
丰田,凯美瑞,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/2aab00ba5d8d42378373ea6a304e0c3d~tplv-resize:640:0.png?psm=motor.rank.data,11172,"[22.68, 13.88]",广汽丰田,中型车,汽油,2025.07,3年或10万公里
长安,逸动,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/e0d9676066014f75a9f63c3a74d969ef~tplv-resize:640:0.png?psm=motor.rank.data,11118,"[8.49, 5.29]",长安汽车,紧凑型车,汽油,2025.09,3年或10万公里
大众,探岳,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/7eefe32d76bd4d3a97d5a24b520a2df7~tplv-resize:640:0.png?psm=motor.rank.data,11084,"[20.49, 13.19]",一汽-大众,中型SUV,汽油,2026.03,3年或10万公里
吉利汽车,帝豪,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/bc0b49cf6ce64af69812bdf57ce865ac~tplv-resize:640:0.png?psm=motor.rank.data,10505,"[8.29, 4.88]",吉利汽车,紧凑型车,汽油,2025.11,4年或15万公里
吉利汽车,星越L,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/588bea89ef084984b66a2ee353b261ff~tplv-resize:640:0.png?psm=motor.rank.data,10144,"[16.47, 12.47]",吉利汽车,紧凑型SUV,汽油,2025.09,5年或15万公里
AITO,问界M7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/f0139587d2084e03a6a9ab6e8db0fcf7~tplv-resize:640:0.png?psm=motor.rank.data,10093,"[38.98, 27.98]",赛力斯汽车,中大型SUV,纯电动,2025.09,4年或10万公里
本田,本田CR-V,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/541410e4d8134f54ab910e4d8fc59005~tplv-resize:640:0.png?psm=motor.rank.data,10089,"[20.99, 13.99]",东风本田,紧凑型SUV,汽油,2025.09,3年或10万公里
宝马,宝马3系,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/8a3daca02bc04bfea188f572f278aaf6~tplv-resize:640:0.png?psm=motor.rank.data,9459,"[28.99, 20.8]",华晨宝马,中型车,汽油,2026.01,3年或10万公里
比亚迪,宋Pro DM,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/a43ad8cbf8684f2b93e632546a8343cc~tplv-resize:640:0.png?psm=motor.rank.data,9295,"[12.78, 8.78]",比亚迪,紧凑型SUV,插电式混合动力,2025.10,6年或15万公里
日产,轩逸,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/b4fb6a87e743456b85258d35e894b3f2~tplv-resize:640:0.png?psm=motor.rank.data,8998,"[14.19, 6.19]",东风日产,紧凑型车,汽油,2026.02,3年或10万公里
奔驰,奔驰E级,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/9b08b1c3602645d7ad7574aeb71b6ce3~tplv-resize:640:0.png?psm=motor.rank.data,8583,"[45.98, 26.08]",北京奔驰,中大型车,48V轻混系统,2026.04,3年不限公里
红旗,红旗H5,https://p3-dcd.byteimg.com/motor-mis-img/4e5a38bacf99a7c63567e63f3bde1216~tplv-resize:640:0.png?psm=motor.rank.data,7973,"[16.58, 10.98]",一汽红旗,中型车,汽油,2024.09,4年或10万公里
丰田,RAV4荣放,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/e8651090ef4344d1be51b524ff1904bf~tplv-resize:640:0.png?psm=motor.rank.data,7789,"[23.88, 15.18]",一汽丰田,紧凑型SUV,汽油,2025.11,3年或10万公里
奥迪,奥迪A6L,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/91eaac8446114757841144c12ddb8d37~tplv-resize:640:0.png?psm=motor.rank.data,7749,"[43.29, 29.1]",一汽奥迪,中大型车,汽油,2026.03,3年或10万公里
奥迪,奥迪Q5L,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/0eb7058e774841969c92d987e64c09f5~tplv-resize:640:0.png?psm=motor.rank.data,7745,"[38.18, 24.84]",一汽奥迪,中型SUV,油电混合,2026.01,3年或10万公里
大众,途岳,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/c33c6674860948149e5d808e05ae222d~tplv-resize:640:0.png?psm=motor.rank.data,7403,"[16.49, 7.99]",上汽大众,紧凑型SUV,汽油,2025.08,3年或10万公里
丰田,卡罗拉锐放,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/ed29d140eaba4685b466b69482e34e3b~tplv-resize:640:0.png?psm=motor.rank.data,7395,"[15.18, 9.38]",一汽丰田,紧凑型SUV,汽油,2025.10,3年或10万公里
宝马,宝马5系,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/b2840cd65c064d7a830adb574272813f~tplv-resize:640:0.png?psm=motor.rank.data,7247,"[35.7, 29.3]",华晨宝马,中大型车,48V轻混系统,2026.02,3年或10万公里
长安,长安X5 PLUS,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/cd244d8b1ce74e41adac4d863c8e6350~tplv-resize:640:0.png?psm=motor.rank.data,6964,"[8.39, 5.99]",长安汽车,紧凑型SUV,汽油,2025.08,3年或10万公里
吉利汽车,缤越,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/1546bce3c7764e6b9a895274b29a019f~tplv-resize:640:0.png?psm=motor.rank.data,6834,"[8.58, 5.88]",吉利汽车,小型SUV,汽油,2024.07,4年或10万公里
别克,昂科威,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/dc18eb3ac0974de39301da05d78203e4~tplv-resize:640:0.png?psm=motor.rank.data,6506,"[19.49, 16.49]",上汽通用别克,中型SUV,汽油,2025.09,3年或10万公里
奔驰,奔驰GLC,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/99afdf53229145caadf53e1be4f54ff5~tplv-resize:640:0.png?psm=motor.rank.data,6430,"[37.38, 26.18]",北京奔驰,中型SUV,48V轻混系统,2026.04,3年不限公里
哈弗,哈弗大狗,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/413defba9aa74f2892f7f7ced70ce53a~tplv-resize:640:0.png?psm=motor.rank.data,6281,"[11.69, 9.09]",长城汽车,紧凑型SUV,汽油,2025.07,3年或10万公里
比亚迪,海豚,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/dc616c2ab21c47d9beddc2c940f8828d~tplv-resize:640:0.png?psm=motor.rank.data,6081,"[11.78, 8.38]",比亚迪,小型车,纯电动,2025.02,6年或15万公里
深蓝汽车,深蓝S05,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/7a0815248ed74d30931d95eb907b6b6a~tplv-resize:640:0.png?psm=motor.rank.data,5932,"[13.69, 10.69]",深蓝汽车,紧凑型SUV,纯电动,2025.08,3年或12万公里
比亚迪,海鸥,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/c9079d51a70f4fcd998ca89ad7badb57~tplv-resize:640:0.png?psm=motor.rank.data,5856,"[8.28, 6.68]",比亚迪,小型车,纯电动,2025.02,6年或15万公里
宝马,宝马X3,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/fb1e7339815e45b8a6a0ed3751e70b39~tplv-resize:640:0.png?psm=motor.rank.data,5583,"[32.8, 26.6]",华晨宝马,中型SUV,汽油,2026.01,3年或10万公里
五菱汽车,缤果S,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/fe583d70163f47ab97f855da90ff055a~tplv-resize:640:0.png?psm=motor.rank.data,5448,"[8.68, 6.38]",上汽通用五菱,小型车,纯电动,2026.03,4年或15万公里
宝马,宝马X5,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/bf84f7f297c74b4ab69467bef101e7e1~tplv-resize:640:0.png?psm=motor.rank.data,5283,"[69.3, 52.8]",华晨宝马,中大型SUV,48V轻混系统,2026.01,3年或10万公里
比亚迪,元UP,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/f3bd2e9744044187b726b05ecccdce42~tplv-resize:640:0.png?psm=motor.rank.data,5235,"[10.68, 6.98]",比亚迪,小型SUV,纯电动,2025.07,6年或15万公里
丰田,赛那,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/0c4126f4e19f4486ab824f4c0abb7a95~tplv-resize:640:0.png?psm=motor.rank.data,5086,"[34.38, 24.98]",广汽丰田,中大型MPV,油电混合,2025.09,3年或10万公里
吉利银河,银河A7 PHEV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/b221b18c07534b408f168e58b3e160f0~tplv-resize:640:0.png?psm=motor.rank.data,5059,"[11.78, 8.18]",吉利银河,中型车,插电式混合动力,2025.08,6年或15万公里
吉利银河,银河M9,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/4ce0a4be183540a58d72ad06dabed315~tplv-resize:640:0.png?psm=motor.rank.data,5043,"[23.88, 17.38]",吉利银河,中大型SUV,插电式混合动力,2025.09,6年或15万公里
