brand,carname,carimg,salevolume,price,manufacturer,carmodel,energytype,marketime,insure
理想汽车,理想i6,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/23bca80155b2406abca7b473c8e85691~tplv-resize:640:0.png?psm=motor.rank.data,996,"[26.98, 24.98]",理想汽车,中大型SUV,纯电动,2025.09,5年或10万公里
蔚来,蔚来ES8,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/3ee6d8e17f414ad9b5a4546607ec9877~tplv-resize:640:0.png?psm=motor.rank.data,884,"[45.68, 40.68]",蔚来,大型SUV,纯电动,2025.09,3年或12万公里
小米汽车,小米SU7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/cbdad660b73c48808f6c6317e38738e2~tplv-resize:640:0.png?psm=motor.rank.data,763,"[30.39, 21.99]",小米汽车,中大型车,纯电动,2026.03,5年或10万公里
ARCFOX极狐,极狐 阿尔法S5,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/5dbe7533a7384d43aff84fc56d4fde0d~tplv-resize:640:0.png?psm=motor.rank.data,723,"[17.78, 10.48]",北汽新能源,中型车,增程式,2026.03,3年或12万公里
特斯拉,Model Y,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/31b02aeb33334fb28e2c34dd81ed4528~tplv-resize:640:0.png?psm=motor.rank.data,719,"[31.35, 26.35]",特斯拉中国,中型SUV,纯电动,2026.01,4年或8万公里
吉利汽车,缤越,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/1546bce3c7764e6b9a895274b29a019f~tplv-resize:640:0.png?psm=motor.rank.data,703,"[9.78, 6.68]",吉利汽车,小型SUV,汽油,2024.07,4年或10万公里
比亚迪,海狮06EV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/2f4d4de44df0441383cd118517635fda~tplv-resize:640:0.png?psm=motor.rank.data,580,"[17.99, 14.38]",比亚迪,中型SUV,纯电动,2026.03,6年或15万公里
比亚迪,秦PLUS DM,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/07aa7548dcd2431799fcc58785c6d74b~tplv-resize:640:0.png?psm=motor.rank.data,537,"[10.38, 7.98]",比亚迪,紧凑型车,插电式混合动力,2026.01,6年或15万公里
比亚迪,宋Ultra EV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/65acb4b1c509483ba0df1d58ef560da6~tplv-resize:640:0.png?psm=motor.rank.data,530,"[17.99, 15.19]",比亚迪,中型SUV,纯电动,2026.03,6年或15万公里
奔驰,奔驰GLC,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/99afdf53229145caadf53e1be4f54ff5~tplv-resize:640:0.png?psm=motor.rank.data,449,"[46.28, 35.18]",北京奔驰,中型SUV,48V轻混系统,2026.04,3年不限公里
AITO,问界M7,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/f0139587d2084e03a6a9ab6e8db0fcf7~tplv-resize:640:0.png?psm=motor.rank.data,443,"[38.98, 27.98]",赛力斯汽车,中大型SUV,纯电动,2025.09,4年或10万公里
小米汽车,小米YU7,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/d7ff66203a754169bf75cb1f0f713420~tplv-resize:640:0.png?psm=motor.rank.data,428,"[32.99, 25.35]",小米汽车,中大型SUV,纯电动,2025.06,5年或10万公里
极氪,ZEEKR 9X,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/aa455b63a7a54255ad80d02ec31a7c1c~tplv-resize:640:0.png?psm=motor.rank.data,426,"[59.99, 46.59]",极氪,大型SUV,插电式混合动力,2025.09,6年或15万公里
魏牌,高山,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/d0b5dcdb6a9d40c88c3fb35b7499079c~tplv-resize:640:0.png?psm=motor.rank.data,392,"[35.38, 28.58]",长城汽车,中大型MPV,插电式混合动力,2025.10,6年或15万公里
腾势,腾势D9 DM,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/a8bc20def6f04e0194fa0adc34df430b~tplv-resize:640:0.png?psm=motor.rank.data,374,"[45.98, 30.98]",腾势汽车,中大型MPV,插电式混合动力,2026.04,6年或15万公里
坦克,坦克300,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/c165012de7a54454aec3825533f6e1c3~tplv-resize:640:0.png?psm=motor.rank.data,374,"[23.48, 19.98]",长城汽车,紧凑型SUV,汽油,2025.03,5年或15万公里
大众,朗逸,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/32129dbc6b824b1abf2e2388c1890b95~tplv-resize:640:0.png?psm=motor.rank.data,367,"[15.19, 7.999]",上汽大众,紧凑型车,汽油,2026.01,3年或10万公里
ARCFOX极狐,极狐 阿尔法T5,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/edf42ae3ba794dd7af1f220f80edfc80~tplv-resize:640:0.png?psm=motor.rank.data,365,"[15.88, 11.38]",北汽新能源,中型SUV,纯电动,2025.10,3年或12万公里
奥迪,奥迪A6L,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/91eaac8446114757841144c12ddb8d37~tplv-resize:640:0.png?psm=motor.rank.data,362,"[55.89, 32.29]",一汽奥迪,中大型车,汽油,2026.03,3年或10万公里
奥迪,奥迪Q5L,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/0eb7058e774841969c92d987e64c09f5~tplv-resize:640:0.png?psm=motor.rank.data,361,"[39.98, 30.98]",一汽奥迪,中型SUV,油电混合,2026.01,3年或10万公里
奔驰,奔驰E级,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/9b08b1c3602645d7ad7574aeb71b6ce3~tplv-resize:640:0.png?psm=motor.rank.data,357,"[59.98, 37.88]",北京奔驰,中大型车,48V轻混系统,2026.04,3年不限公里
方程豹,钛7 PHEV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/3bb475c050b541e494e0fc3c10da4d40~tplv-resize:640:0.png?psm=motor.rank.data,342,"[21.98, 17.98]",方程豹,中大型SUV,插电式混合动力,2025.09,6年或15万公里
大众,帕萨特,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/b4285df0389c47399c7f0fa8d52a8334~tplv-resize:640:0.png?psm=motor.rank.data,336,"[30.98, 16.45]",上汽大众,中型车,汽油,2025.09,3年或10万公里
ARCFOX极狐,极狐T1,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/8c49609f761840fc8742c0a59f12fba7~tplv-resize:640:0.png?psm=motor.rank.data,334,"[8.78, 6.28]",北汽新能源,小型车,纯电动,2025.09,5年或12万公里
比亚迪,秦L EV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/85588b26d46b44a9b56e5291a42dfcd0~tplv-resize:640:0.png?psm=motor.rank.data,308,"[13.98, 11.98]",比亚迪,中型车,纯电动,2025.03,6年或15万公里
大众,迈腾,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/af209a0bc7a548a89dc86b1062cac9c7~tplv-resize:640:0.png?psm=motor.rank.data,306,"[24.69, 17.49]",一汽-大众,中型车,汽油,2025.10,3年或10万公里
丰田,凯美瑞,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/2aab00ba5d8d42378373ea6a304e0c3d~tplv-resize:640:0.png?psm=motor.rank.data,305,"[25.98, 17.18]",广汽丰田,中型车,汽油,2025.07,3年或10万公里
特斯拉,Model Y L,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/dea2fae378bf4e19aaff0632f93b1143~tplv-resize:640:0.png?psm=motor.rank.data,304,"[33.9, 33.9]",特斯拉中国,中大型SUV,纯电动,2025.08,4年或8万公里
丰田,卡罗拉锐放,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/ed29d140eaba4685b466b69482e34e3b~tplv-resize:640:0.png?psm=motor.rank.data,302,"[18.48, 12.68]",一汽丰田,紧凑型SUV,汽油,2025.10,3年或10万公里
丰田,亚洲龙,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/b47ec0be1ba940aa8e02b93784b6949e~tplv-resize:640:0.png?psm=motor.rank.data,300,"[25.68, 17.88]",一汽丰田,中型车,汽油,2026.04,3年或10万公里
丰田,赛那,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/0c4126f4e19f4486ab824f4c0abb7a95~tplv-resize:640:0.png?psm=motor.rank.data,284,"[39.38, 29.98]",广汽丰田,中大型MPV,油电混合,2025.09,3年或10万公里
