brand,carname,carimg,salevolume,price,manufacturer,carmodel,energytype,marketime,insure
特斯拉,Model Y,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/31b02aeb33334fb28e2c34dd81ed4528~tplv-resize:640:0.png?psm=motor.rank.data,1197,"[31.35, 26.35]",特斯拉中国,中型SUV,纯电动,2026.01,4年或8万公里
蔚来,蔚来ES8,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/4fcf3687c3ad4a38b35a6abdfbc9e0a0~tplv-resize:640:0.png?psm=motor.rank.data,1125,"[44.68, 40.68]",蔚来,大型SUV,纯电动,2025.09,3年或12万公里
理想汽车,理想i6,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/23bca80155b2406abca7b473c8e85691~tplv-resize:640:0.png?psm=motor.rank.data,1010,"[26.98, 24.98]",理想汽车,中大型SUV,纯电动,2025.09,5年或10万公里
东风风行,风行雷霆,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/164c73cdd306417c9de49b976bd75712~tplv-resize:640:0.png?psm=motor.rank.data,1005,"[22.99, 9.98]",东风风行,紧凑型SUV,增程式,2025.12,8年或16万公里
红旗,红旗E-QM5,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/b037b30e070943928eff5eb972564e56~tplv-resize:640:0.png?psm=motor.rank.data,942,"[20.18, 12.18]",一汽红旗,中型车,纯电动,2025.05,4年或10万公里
小米汽车,小米YU7,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/d7ff66203a754169bf75cb1f0f713420~tplv-resize:640:0.png?psm=motor.rank.data,652,"[32.99, 25.35]",小米汽车,中大型SUV,纯电动,2025.06,5年或10万公里
启辰,启辰VX6,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/a00b2c2ef316486dbec5384a722cc5d6~tplv-resize:640:0.png?psm=motor.rank.data,600,"[15.99, 13.49]",东风日产,中型SUV,纯电动,2025.07,6年或15万公里
特斯拉,Model 3,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/f1cb1d06a54f44e0a4b8c7eefd1791cd~tplv-resize:640:0.png?psm=motor.rank.data,595,"[33.95, 23.55]",特斯拉中国,中型车,纯电动,2025.10,4年或8万公里
吉利银河,星愿,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/ac8a5ee1d8774df59ccd8aaa375fac7e~tplv-resize:640:0.png?psm=motor.rank.data,592,"[9.88, 6.88]",吉利银河,小型车,纯电动,2025.10,6年或15万公里
大众,朗逸,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/32129dbc6b824b1abf2e2388c1890b95~tplv-resize:640:0.png?psm=motor.rank.data,536,"[15.19, 7.999]",上汽大众,紧凑型车,汽油,2026.01,3年或10万公里
