brand,carname,carimg,salevolume,price,manufacturer,carmodel,energytype,marketime,insure
长安启源,长安启源Q05,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/d165339b96b94c7bb9f77369d17afdc1~tplv-resize:640:0.png?psm=motor.rank.data,678,"[10.99, 7.99]",长安启源,紧凑型SUV,纯电动,2025.11,6年或15万公里
深蓝汽车,深蓝S05,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/7a0815248ed74d30931d95eb907b6b6a~tplv-resize:640:0.png?psm=motor.rank.data,674,"[14.99, 11.99]",深蓝汽车,紧凑型SUV,纯电动,2025.08,3年或12万公里
奔腾,悦意03,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/59466e6dac714415ae435fc225c34c16~tplv-resize:640:0.png?psm=motor.rank.data,553,"[12.29, 7.98]",一汽奔腾,紧凑型SUV,纯电动,2026.03,3年或10万公里
长安,长安CS75 PLUS,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/ca979536da2c4cadb64281d0f33886d0~tplv-resize:640:0.png?psm=motor.rank.data,534,"[13.99, 10.89]",长安汽车,紧凑型SUV,汽油,2025.10,3年或10万公里
理想汽车,理想i6,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/23bca80155b2406abca7b473c8e85691~tplv-resize:640:0.png?psm=motor.rank.data,533,"[26.98, 24.98]",理想汽车,中大型SUV,纯电动,2025.09,5年或10万公里
特斯拉,Model Y,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/31b02aeb33334fb28e2c34dd81ed4528~tplv-resize:640:0.png?psm=motor.rank.data,521,"[31.35, 26.35]",特斯拉中国,中型SUV,纯电动,2026.01,4年或8万公里
长安,逸动,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/e0d9676066014f75a9f63c3a74d969ef~tplv-resize:640:0.png?psm=motor.rank.data,451,"[9.99, 7.29]",长安汽车,紧凑型车,汽油,2025.09,3年或10万公里
深蓝汽车,深蓝S07,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/cf7c0306cbcc4bf59fb91444b20bf80a~tplv-resize:640:0.png?psm=motor.rank.data,438,"[17.49, 15.69]",深蓝汽车,中型SUV,增程式,2025.09,3年或12万公里
吉利银河,星愿,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/ac8a5ee1d8774df59ccd8aaa375fac7e~tplv-resize:640:0.png?psm=motor.rank.data,369,"[9.88, 6.88]",吉利银河,小型车,纯电动,2025.10,6年或15万公里
AITO,问界M7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/f0139587d2084e03a6a9ab6e8db0fcf7~tplv-resize:640:0.png?psm=motor.rank.data,364,"[38.98, 27.98]",赛力斯汽车,中大型SUV,纯电动,2025.09,4年或10万公里
方程豹,钛7 PHEV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/3bb475c050b541e494e0fc3c10da4d40~tplv-resize:640:0.png?psm=motor.rank.data,352,"[21.98, 17.98]",方程豹,中大型SUV,插电式混合动力,2025.09,6年或15万公里
阿维塔,阿维塔 07,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/8b7d620a07494ec4a54bbd467b1aa2da~tplv-resize:640:0.png?psm=motor.rank.data,332,"[28.99, 21.99]",阿维塔科技,中型SUV,增程式,2025.09,5年或12万公里
东风风行,风行雷霆,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/164c73cdd306417c9de49b976bd75712~tplv-resize:640:0.png?psm=motor.rank.data,331,"[22.99, 9.98]",东风风行,紧凑型SUV,增程式,2025.12,8年或16万公里
吉利汽车,星越L,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/588bea89ef084984b66a2ee353b261ff~tplv-resize:640:0.png?psm=motor.rank.data,305,"[17.97, 13.97]",吉利汽车,紧凑型SUV,汽油,2025.09,5年或15万公里
深蓝汽车,深蓝L06,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/942afa8141b747b6a28181ea92a83fbc~tplv-resize:640:0.png?psm=motor.rank.data,304,"[15.69, 13.49]",深蓝汽车,中型车,纯电动,2025.11,5年或12万公里
长安启源,长安启源A06,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/c105cba3fb9141b48adcdc62554539bd~tplv-resize:640:0.png?psm=motor.rank.data,297,"[14.99, 10.99]",长安启源,中大型车,纯电动,2026.04,6年或15万公里
特斯拉,Model 3,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/f1cb1d06a54f44e0a4b8c7eefd1791cd~tplv-resize:640:0.png?psm=motor.rank.data,290,"[33.95, 23.55]",特斯拉中国,中型车,纯电动,2025.10,4年或8万公里
