brand,carname,carimg,salevolume,price,manufacturer,carmodel,energytype,marketime,insure
特斯拉,Model Y,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/31b02aeb33334fb28e2c34dd81ed4528~tplv-resize:640:0.png?psm=motor.rank.data,1538,"[31.35, 26.35]",特斯拉中国,中型SUV,纯电动,2026.01,4年或8万公里
理想汽车,理想i6,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/23bca80155b2406abca7b473c8e85691~tplv-resize:640:0.png?psm=motor.rank.data,1441,"[26.98, 24.98]",理想汽车,中大型SUV,纯电动,2025.09,5年或10万公里
特斯拉,Model 3,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/f1cb1d06a54f44e0a4b8c7eefd1791cd~tplv-resize:640:0.png?psm=motor.rank.data,1182,"[33.95, 23.55]",特斯拉中国,中型车,纯电动,2025.10,4年或8万公里
蔚来,蔚来ES8,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/4fcf3687c3ad4a38b35a6abdfbc9e0a0~tplv-resize:640:0.png?psm=motor.rank.data,1118,"[44.68, 40.68]",蔚来,大型SUV,纯电动,2025.09,3年或12万公里
大众,途观L,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/531775569f224f82a4f363c9ae6461f7~tplv-resize:640:0.png?psm=motor.rank.data,991,"[26.68, 18.68]",上汽大众,中型SUV,汽油,2026.04,3年或10万公里
小米汽车,小米YU7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/d7ff66203a754169bf75cb1f0f713420~tplv-resize:640:0.png?psm=motor.rank.data,975,"[32.99, 25.35]",小米汽车,中大型SUV,纯电动,2025.06,5年或10万公里
丰田,丰田bZ3,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/1a7c1ba06f614302a02a3a5f94e4db6b~tplv-resize:640:0.png?psm=motor.rank.data,894,"[19.98, 10.98]",一汽丰田,中型车,纯电动,2025.12,3年或10万公里
极氪,ZEEKR 9X,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/aa455b63a7a54255ad80d02ec31a7c1c~tplv-resize:640:0.png?psm=motor.rank.data,759,"[59.99, 46.59]",极氪,大型SUV,插电式混合动力,2025.09,6年或15万公里
吉利银河,星愿,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/ac8a5ee1d8774df59ccd8aaa375fac7e~tplv-resize:640:0.png?psm=motor.rank.data,555,"[9.88, 6.88]",吉利银河,小型车,纯电动,2025.10,6年或15万公里
大众,途昂,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/3a9fd474f4514a36b166ef56106ed877~tplv-resize:640:0.png?psm=motor.rank.data,506,"[35.99, 28.9]",上汽大众,中大型SUV,汽油,2025.09,3年或10万公里
小米汽车,小米SU7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/cbdad660b73c48808f6c6317e38738e2~tplv-resize:640:0.png?psm=motor.rank.data,481,"[30.39, 21.59]",小米汽车,中大型车,纯电动,2026.03,5年或10万公里
宝马,宝马3系,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/8a3daca02bc04bfea188f572f278aaf6~tplv-resize:640:0.png?psm=motor.rank.data,426,"[39.99, 25.8]",华晨宝马,中型车,汽油,2026.01,3年或10万公里
极氪,ZEEKR 7X,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/5c1bfaaf6b9d448294c69698ce7cde5a~tplv-resize:640:0.png?psm=motor.rank.data,417,"[26.99, 22.98]",极氪,中型SUV,纯电动,2025.10,4年或10万公里
零跑汽车,零跑C10,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/4fbd6a7c598d4e2c8edfe0d08b6179c0~tplv-resize:640:0.png?psm=motor.rank.data,392,"[16.88, 12.28]",零跑汽车,中型SUV,增程式,2025.05,4年或12万公里
特斯拉,Model Y L,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/dea2fae378bf4e19aaff0632f93b1143~tplv-resize:640:0.png?psm=motor.rank.data,355,"[33.9, 33.9]",特斯拉中国,中大型SUV,纯电动,2025.08,4年或8万公里
小鹏汽车,小鹏MONA M03,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/be32e669a009490ba81e8c7cf0145a42~tplv-resize:640:0.png?psm=motor.rank.data,350,"[15.18, 11.98]",小鹏汽车,紧凑型车,纯电动,2026.04,5年或12万公里
吉利汽车,星越L,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/588bea89ef084984b66a2ee353b261ff~tplv-resize:640:0.png?psm=motor.rank.data,301,"[17.97, 13.97]",吉利汽车,紧凑型SUV,汽油,2025.09,5年或15万公里
奔驰,奔驰GLC,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/99afdf53229145caadf53e1be4f54ff5~tplv-resize:640:0.png?psm=motor.rank.data,295,"[46.28, 35.18]",北京奔驰,中型SUV,48V轻混系统,2026.04,3年不限公里
firefly萤火虫,firefly萤火虫,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/3552ee01219b490aad189f48f9ad7b2e~tplv-resize:640:0.png?psm=motor.rank.data,282,"[12.58, 11.98]",蔚来,小型车,纯电动,2026.04,4年或10万公里
极氪,ZEEKR 007,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/3aaa054677294ed3a1e760cf3d0ca49e~tplv-resize:640:0.png?psm=motor.rank.data,272,"[29.99, 20.39]",极氪,中型车,纯电动,2026.04,4年或10万公里
吉利汽车,缤越,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/1546bce3c7764e6b9a895274b29a019f~tplv-resize:640:0.png?psm=motor.rank.data,272,"[9.78, 6.68]",吉利汽车,小型SUV,汽油,2024.07,4年或10万公里
奔驰,奔驰E级,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/9b08b1c3602645d7ad7574aeb71b6ce3~tplv-resize:640:0.png?psm=motor.rank.data,261,"[59.98, 37.88]",北京奔驰,中大型车,48V轻混系统,2026.04,3年不限公里
极氪,ZEEKR 001,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/750b7836d2fa4303bb1831c88b379ddd~tplv-resize:640:0.png?psm=motor.rank.data,255,"[36.5, 26.98]",极氪,中大型车,纯电动,2025.10,4年或10万公里
零跑汽车,零跑C11,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/9fe2e951084c42b08cd13db2b3c235d5~tplv-resize:640:0.png?psm=motor.rank.data,252,"[20.58, 14.88]",零跑汽车,中型SUV,增程式,2025.07,4年或12万公里
奔驰,奔驰C级,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/e8abf034d5504085a9850c7b7632b065~tplv-resize:640:0.png?psm=motor.rank.data,247,"[38.06, 30.46]",北京奔驰,中型车,48V轻混系统,2025.11,3年不限公里
理想汽车,理想L6,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/0cd0f362cc6440b4aff4feed0532f12f~tplv-resize:640:0.png?psm=motor.rank.data,242,"[27.98, 24.98]",理想汽车,中大型SUV,增程式,2025.04,5年或10万公里
AITO,问界M7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/f0139587d2084e03a6a9ab6e8db0fcf7~tplv-resize:640:0.png?psm=motor.rank.data,237,"[38.98, 27.98]",赛力斯汽车,中大型SUV,纯电动,2025.09,4年或10万公里
丰田,卡罗拉锐放,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/ed29d140eaba4685b466b69482e34e3b~tplv-resize:640:0.png?psm=motor.rank.data,227,"[18.48, 12.68]",一汽丰田,紧凑型SUV,汽油,2025.10,3年或10万公里
蔚来,蔚来ET5,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/021a6d4c02a74d718f7806e6c7239461~tplv-resize:640:0.png?psm=motor.rank.data,226,"[31.6, 29.8]",蔚来,中型车,纯电动,2026.04,3年或12万公里
