brand,carname,carimg,salevolume,price,manufacturer,carmodel,energytype,marketime,insure
理想汽车,理想i6,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/23bca80155b2406abca7b473c8e85691~tplv-resize:640:0.png?psm=motor.rank.data,328,"[26.98, 24.98]",理想汽车,中大型SUV,纯电动,2025.09,5年或10万公里
特斯拉,Model Y,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/31b02aeb33334fb28e2c34dd81ed4528~tplv-resize:640:0.png?psm=motor.rank.data,322,"[31.35, 26.35]",特斯拉中国,中型SUV,纯电动,2026.01,4年或8万公里
吉利银河,星愿,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/ac8a5ee1d8774df59ccd8aaa375fac7e~tplv-resize:640:0.png?psm=motor.rank.data,310,"[9.88, 6.88]",吉利银河,小型车,纯电动,2025.10,6年或15万公里
小米汽车,小米YU7,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/d7ff66203a754169bf75cb1f0f713420~tplv-resize:640:0.png?psm=motor.rank.data,252,"[32.99, 25.35]",小米汽车,中大型SUV,纯电动,2025.06,5年或10万公里
比亚迪,元UP,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/f3bd2e9744044187b726b05ecccdce42~tplv-resize:640:0.png?psm=motor.rank.data,234,"[11.98, 7.48]",比亚迪,小型SUV,纯电动,2025.07,6年或15万公里
特斯拉,Model 3,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/f1cb1d06a54f44e0a4b8c7eefd1791cd~tplv-resize:640:0.png?psm=motor.rank.data,205,"[33.95, 23.55]",特斯拉中国,中型车,纯电动,2025.10,4年或8万公里
小米汽车,小米SU7,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/cbdad660b73c48808f6c6317e38738e2~tplv-resize:640:0.png?psm=motor.rank.data,182,"[30.39, 21.59]",小米汽车,中大型车,纯电动,2026.03,5年或10万公里
蔚来,蔚来ES8,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/4fcf3687c3ad4a38b35a6abdfbc9e0a0~tplv-resize:640:0.png?psm=motor.rank.data,178,"[44.68, 40.68]",蔚来,大型SUV,纯电动,2025.09,3年或12万公里
埃安,AION Y,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/d382087dc4bd467f8951919c0b5f8334~tplv-resize:640:0.png?psm=motor.rank.data,154,"[14.58, 9.98]",广汽埃安新能源,紧凑型SUV,纯电动,2025.06,4年或15万公里
吉利汽车,星瑞,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/0bd351ca4fbb43e88ce265d8f0b869fb~tplv-resize:640:0.png?psm=motor.rank.data,136,"[14.67, 9.87]",吉利汽车,紧凑型车,汽油,2025.09,4年或10万公里
小鹏汽车,小鹏MONA M03,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/382f7f8f3049446b9f096556e9f3175d~tplv-resize:640:0.png?psm=motor.rank.data,117,"[15.18, 11.98]",小鹏汽车,紧凑型车,纯电动,2026.04,5年或12万公里
奔驰,奔驰E级,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/9b08b1c3602645d7ad7574aeb71b6ce3~tplv-resize:640:0.png?psm=motor.rank.data,117,"[59.98, 37.88]",北京奔驰,中大型车,48V轻混系统,2026.04,3年不限公里
理想汽车,理想L6,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/0cd0f362cc6440b4aff4feed0532f12f~tplv-resize:640:0.png?psm=motor.rank.data,115,"[27.98, 24.98]",理想汽车,中大型SUV,增程式,2025.04,5年或10万公里
长安启源,长安启源Q05,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/d165339b96b94c7bb9f77369d17afdc1~tplv-resize:640:0.png?psm=motor.rank.data,114,"[10.99, 7.99]",长安启源,紧凑型SUV,纯电动,2025.11,6年或15万公里
深蓝汽车,深蓝S05,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/7a0815248ed74d30931d95eb907b6b6a~tplv-resize:640:0.png?psm=motor.rank.data,110,"[14.99, 11.99]",深蓝汽车,紧凑型SUV,纯电动,2025.08,3年或12万公里
零跑汽车,零跑C10,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/4fbd6a7c598d4e2c8edfe0d08b6179c0~tplv-resize:640:0.png?psm=motor.rank.data,108,"[16.88, 12.28]",零跑汽车,中型SUV,增程式,2025.05,4年或12万公里
奔驰,奔驰GLC,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/99afdf53229145caadf53e1be4f54ff5~tplv-resize:640:0.png?psm=motor.rank.data,107,"[46.28, 35.18]",北京奔驰,中型SUV,48V轻混系统,2026.04,3年不限公里
