brand,carname,carimg,salevolume,price,manufacturer,carmodel,energytype,marketime,insure
小米汽车,小米SU7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/cbdad660b73c48808f6c6317e38738e2~tplv-resize:640:0.png?psm=motor.rank.data,632,"[30.39, 21.99]",小米汽车,中大型车,纯电动,2026.03,5年或10万公里
东风风行,风行雷霆,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/164c73cdd306417c9de49b976bd75712~tplv-resize:640:0.png?psm=motor.rank.data,305,"[22.99, 9.98]",东风风行,紧凑型SUV,增程式,2025.12,8年或16万公里
理想汽车,理想i6,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/23bca80155b2406abca7b473c8e85691~tplv-resize:640:0.png?psm=motor.rank.data,265,"[26.98, 24.98]",理想汽车,中大型SUV,纯电动,2025.09,5年或10万公里
特斯拉,Model Y,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/31b02aeb33334fb28e2c34dd81ed4528~tplv-resize:640:0.png?psm=motor.rank.data,237,"[31.35, 26.35]",特斯拉中国,中型SUV,纯电动,2026.01,4年或8万公里
吉利银河,星愿,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/ac8a5ee1d8774df59ccd8aaa375fac7e~tplv-resize:640:0.png?psm=motor.rank.data,214,"[9.88, 6.88]",吉利银河,小型车,纯电动,2025.10,6年或15万公里
小鹏汽车,小鹏MONA M03,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/be32e669a009490ba81e8c7cf0145a42~tplv-resize:640:0.png?psm=motor.rank.data,192,"[15.18, 11.98]",小鹏汽车,紧凑型车,纯电动,2026.04,5年或12万公里
小米汽车,小米YU7,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/d7ff66203a754169bf75cb1f0f713420~tplv-resize:640:0.png?psm=motor.rank.data,170,"[32.99, 25.35]",小米汽车,中大型SUV,纯电动,2025.06,5年或10万公里
比亚迪,元UP,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/f3bd2e9744044187b726b05ecccdce42~tplv-resize:640:0.png?psm=motor.rank.data,151,"[11.98, 7.48]",比亚迪,小型SUV,纯电动,2025.07,6年或15万公里
蔚来,蔚来ES8,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/3ee6d8e17f414ad9b5a4546607ec9877~tplv-resize:640:0.png?psm=motor.rank.data,139,"[45.68, 40.68]",蔚来,大型SUV,纯电动,2025.09,3年或12万公里
东风风神,SKY EV01,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/be19e891f14146cbbf5050a6468b5cc8~tplv-resize:640:0.png?psm=motor.rank.data,122,"[16.99, 14.99]",东风乘用车,紧凑型SUV,纯电动,2025.03,6年或15万公里
宝马,宝马3系,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/8a3daca02bc04bfea188f572f278aaf6~tplv-resize:640:0.png?psm=motor.rank.data,104,"[39.99, 25.8]",华晨宝马,中型车,汽油,2026.01,3年或10万公里
比亚迪,海狮06EV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/2f4d4de44df0441383cd118517635fda~tplv-resize:640:0.png?psm=motor.rank.data,103,"[17.99, 14.38]",比亚迪,中型SUV,纯电动,2026.03,6年或15万公里
零跑汽车,零跑A10,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/8e18f595bd944717b1137b2808f3e02e~tplv-resize:640:0.png?psm=motor.rank.data,99,"[8.68, 6.58]",零跑汽车,小型SUV,纯电动,2026.03,4年或12万公里
深蓝汽车,深蓝S05,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/7a0815248ed74d30931d95eb907b6b6a~tplv-resize:640:0.png?psm=motor.rank.data,98,"[14.99, 11.99]",深蓝汽车,紧凑型SUV,纯电动,2025.08,3年或12万公里
零跑汽车,零跑C10,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/4fbd6a7c598d4e2c8edfe0d08b6179c0~tplv-resize:640:0.png?psm=motor.rank.data,96,"[16.88, 12.28]",零跑汽车,中型SUV,增程式,2025.05,4年或12万公里
奔驰,奔驰E级,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/9b08b1c3602645d7ad7574aeb71b6ce3~tplv-resize:640:0.png?psm=motor.rank.data,95,"[59.98, 37.88]",北京奔驰,中大型车,48V轻混系统,2026.04,3年不限公里
firefly萤火虫,firefly萤火虫,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/3552ee01219b490aad189f48f9ad7b2e~tplv-resize:640:0.png?psm=motor.rank.data,87,"[12.58, 11.98]",蔚来,小型车,纯电动,2026.04,4年或10万公里
吉利汽车,星瑞,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/0bd351ca4fbb43e88ce265d8f0b869fb~tplv-resize:640:0.png?psm=motor.rank.data,87,"[14.67, 9.87]",吉利汽车,紧凑型车,油电混合,2026.04,4年或10万公里
宝马,宝马5系,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/b2840cd65c064d7a830adb574272813f~tplv-resize:640:0.png?psm=motor.rank.data,86,"[52.59, 36.8]",华晨宝马,中大型车,48V轻混系统,2026.02,3年或10万公里
极氪,ZEEKR 9X,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/aa455b63a7a54255ad80d02ec31a7c1c~tplv-resize:640:0.png?psm=motor.rank.data,76,"[59.99, 46.59]",极氪,大型SUV,插电式混合动力,2025.09,6年或15万公里
大众,速腾,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/15379fc13832440dadce67e9c325d1ea~tplv-resize:640:0.png?psm=motor.rank.data,74,"[16.49, 9.38]",一汽-大众,紧凑型车,汽油,2025.09,3年或10万公里
五菱汽车,五菱宏光MINIEV,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/a044522be4b94d78bee5dbc43f056782~tplv-resize:640:0.png?psm=motor.rank.data,72,"[5.58, 3.58]",上汽通用五菱,微型车,纯电动,2026.03,3年或12万公里
长安启源,长安启源Q05,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/d165339b96b94c7bb9f77369d17afdc1~tplv-resize:640:0.png?psm=motor.rank.data,70,"[11.49, 7.99]",长安启源,紧凑型SUV,纯电动,2025.11,6年或15万公里
零跑汽车,零跑B01,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/5be73db764e24be994db9929909433f4~tplv-resize:640:0.png?psm=motor.rank.data,70,"[11.98, 8.98]",零跑汽车,紧凑型车,纯电动,2025.07,4年或12万公里
比亚迪,海豚,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/dc616c2ab21c47d9beddc2c940f8828d~tplv-resize:640:0.png?psm=motor.rank.data,69,"[12.98, 9.98]",比亚迪,小型车,纯电动,2025.02,6年或15万公里
