brand,carname,carimg,salevolume,price,manufacturer,carmodel,energytype,marketime,insure
小米汽车,小米SU7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/cbdad660b73c48808f6c6317e38738e2~tplv-resize:640:0.png?psm=motor.rank.data,921,"[30.39, 21.99]",小米汽车,中大型车,纯电动,2026.03,5年或10万公里
理想汽车,理想i6,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/23bca80155b2406abca7b473c8e85691~tplv-resize:640:0.png?psm=motor.rank.data,602,"[26.98, 24.98]",理想汽车,中大型SUV,纯电动,2025.09,5年或10万公里
特斯拉,Model Y,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/31b02aeb33334fb28e2c34dd81ed4528~tplv-resize:640:0.png?psm=motor.rank.data,449,"[31.35, 26.35]",特斯拉中国,中型SUV,纯电动,2026.01,4年或8万公里
小米汽车,小米YU7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/d7ff66203a754169bf75cb1f0f713420~tplv-resize:640:0.png?psm=motor.rank.data,374,"[32.99, 25.35]",小米汽车,中大型SUV,纯电动,2025.06,5年或10万公里
小鹏汽车,小鹏MONA M03,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/be32e669a009490ba81e8c7cf0145a42~tplv-resize:640:0.png?psm=motor.rank.data,300,"[15.18, 11.98]",小鹏汽车,紧凑型车,纯电动,2026.04,5年或12万公里
蔚来,蔚来ES8,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/3ee6d8e17f414ad9b5a4546607ec9877~tplv-resize:640:0.png?psm=motor.rank.data,284,"[45.68, 40.68]",蔚来,大型SUV,纯电动,2025.09,3年或12万公里
比亚迪,海豚,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/dc616c2ab21c47d9beddc2c940f8828d~tplv-resize:640:0.png?psm=motor.rank.data,233,"[12.98, 9.98]",比亚迪,小型车,纯电动,2025.02,6年或15万公里
宝马,宝马3系,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/8a3daca02bc04bfea188f572f278aaf6~tplv-resize:640:0.png?psm=motor.rank.data,220,"[39.99, 25.8]",华晨宝马,中型车,汽油,2026.01,3年或10万公里
奔驰,奔驰E级,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/9b08b1c3602645d7ad7574aeb71b6ce3~tplv-resize:640:0.png?psm=motor.rank.data,206,"[59.98, 37.88]",北京奔驰,中大型车,48V轻混系统,2026.04,3年不限公里
比亚迪,海狮06EV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/2f4d4de44df0441383cd118517635fda~tplv-resize:640:0.png?psm=motor.rank.data,205,"[17.99, 14.38]",比亚迪,中型SUV,纯电动,2026.03,6年或15万公里
奔驰,奔驰GLC,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/99afdf53229145caadf53e1be4f54ff5~tplv-resize:640:0.png?psm=motor.rank.data,199,"[46.28, 35.18]",北京奔驰,中型SUV,48V轻混系统,2026.04,3年不限公里
比亚迪,元UP,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/f3bd2e9744044187b726b05ecccdce42~tplv-resize:640:0.png?psm=motor.rank.data,182,"[11.98, 7.48]",比亚迪,小型SUV,纯电动,2025.07,6年或15万公里
奔驰,奔驰C级,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/e8abf034d5504085a9850c7b7632b065~tplv-resize:640:0.png?psm=motor.rank.data,175,"[38.06, 29.99]",北京奔驰,中型车,48V轻混系统,2025.11,3年不限公里
吉利银河,星愿,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/ac8a5ee1d8774df59ccd8aaa375fac7e~tplv-resize:640:0.png?psm=motor.rank.data,172,"[9.88, 6.88]",吉利银河,小型车,纯电动,2025.10,6年或15万公里
奥迪,奥迪A3,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/2440a980eef1436cb95453dd91fbddb3~tplv-resize:640:0.png?psm=motor.rank.data,158,"[20.99, 16.59]",一汽奥迪,紧凑型车,汽油,2025.10,3年或10万公里
零跑汽车,零跑A10,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/8e18f595bd944717b1137b2808f3e02e~tplv-resize:640:0.png?psm=motor.rank.data,149,"[8.68, 6.58]",零跑汽车,小型SUV,纯电动,2026.03,4年或12万公里
AITO,问界M7,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/f0139587d2084e03a6a9ab6e8db0fcf7~tplv-resize:640:0.png?psm=motor.rank.data,149,"[38.98, 27.98]",赛力斯汽车,中大型SUV,纯电动,2025.09,4年或10万公里
丰田,凯美瑞,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/2aab00ba5d8d42378373ea6a304e0c3d~tplv-resize:640:0.png?psm=motor.rank.data,144,"[25.98, 17.18]",广汽丰田,中型车,汽油,2025.07,3年或10万公里
firefly萤火虫,firefly萤火虫,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/3552ee01219b490aad189f48f9ad7b2e~tplv-resize:640:0.png?psm=motor.rank.data,140,"[12.58, 11.98]",蔚来,小型车,纯电动,2026.04,4年或10万公里
长安启源,长安启源Q05,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/d165339b96b94c7bb9f77369d17afdc1~tplv-resize:640:0.png?psm=motor.rank.data,133,"[11.49, 7.99]",长安启源,紧凑型SUV,纯电动,2025.11,6年或15万公里
宝马,宝马X3,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/fb1e7339815e45b8a6a0ed3751e70b39~tplv-resize:640:0.png?psm=motor.rank.data,133,"[44.99, 31.8]",华晨宝马,中型SUV,汽油,2026.01,3年或10万公里
乐道,乐道L60,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/f90673c17b5b41478cea7e8308ca1d05~tplv-resize:640:0.png?psm=motor.rank.data,132,"[25.59, 20.69]",蔚来,中型SUV,纯电动,2025.09,4年或10万公里
红旗,红旗H5,https://p9-dcd.byteimg.com/motor-mis-img/4e5a38bacf99a7c63567e63f3bde1216~tplv-resize:640:0.png?psm=motor.rank.data,130,"[21.58, 15.98]",一汽红旗,中型车,汽油,2024.09,4年或10万公里
奥迪,奥迪Q5L,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/0eb7058e774841969c92d987e64c09f5~tplv-resize:640:0.png?psm=motor.rank.data,130,"[39.98, 30.98]",一汽奥迪,中型SUV,油电混合,2026.01,3年或10万公里
零跑汽车,零跑C10,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/4fbd6a7c598d4e2c8edfe0d08b6179c0~tplv-resize:640:0.png?psm=motor.rank.data,124,"[16.88, 12.28]",零跑汽车,中型SUV,增程式,2025.05,4年或12万公里
宝马,宝马5系,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/b2840cd65c064d7a830adb574272813f~tplv-resize:640:0.png?psm=motor.rank.data,122,"[52.59, 36.8]",华晨宝马,中大型车,48V轻混系统,2026.02,3年或10万公里
比亚迪,宋Ultra EV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/65acb4b1c509483ba0df1d58ef560da6~tplv-resize:640:0.png?psm=motor.rank.data,115,"[17.99, 15.19]",比亚迪,中型SUV,纯电动,2026.03,6年或15万公里
极氪,ZEEKR 9X,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/aa455b63a7a54255ad80d02ec31a7c1c~tplv-resize:640:0.png?psm=motor.rank.data,107,"[59.99, 46.59]",极氪,大型SUV,插电式混合动力,2025.09,6年或15万公里
别克,昂科威,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/dc18eb3ac0974de39301da05d78203e4~tplv-resize:640:0.png?psm=motor.rank.data,103,"[25.99, 22.99]",上汽通用别克,中型SUV,汽油,2025.09,3年或10万公里
吉利汽车,星越L,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/588bea89ef084984b66a2ee353b261ff~tplv-resize:640:0.png?psm=motor.rank.data,102,"[17.97, 13.97]",吉利汽车,紧凑型SUV,油电混合,2026.04,5年或15万公里
比亚迪,海鸥,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/9461142b8e4e43ed9bbb0c211bc3cb9b~tplv-resize:640:0.png?psm=motor.rank.data,100,"[8.59, 6.98]",比亚迪,小型车,纯电动,2026.05,6年或15万公里
比亚迪,海豹06EV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/0f8f68edffef4a25801febb0c59ed9ec~tplv-resize:640:0.png?psm=motor.rank.data,97,"[12.98, 10.98]",比亚迪,中型车,纯电动,2025.06,6年或15万公里
奥迪,奥迪A5L Sportback,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/298009e2bba84aab9c2ee007364e03ef~tplv-resize:640:0.png?psm=motor.rank.data,97,"[39.99, 27.99]",上汽奥迪,中型车,汽油,2025.08,3年或10万公里
大众,速腾,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/15379fc13832440dadce67e9c325d1ea~tplv-resize:640:0.png?psm=motor.rank.data,96,"[16.49, 9.38]",一汽-大众,紧凑型车,汽油,2025.09,3年或10万公里
奥迪,奥迪A6L,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/91eaac8446114757841144c12ddb8d37~tplv-resize:640:0.png?psm=motor.rank.data,96,"[55.89, 32.29]",一汽奥迪,中大型车,汽油,2026.03,3年或10万公里
蔚来,蔚来ET5,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/021a6d4c02a74d718f7806e6c7239461~tplv-resize:640:0.png?psm=motor.rank.data,93,"[31.6, 29.8]",蔚来,中型车,纯电动,2026.04,3年或12万公里
吉利汽车,缤越,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/1546bce3c7764e6b9a895274b29a019f~tplv-resize:640:0.png?psm=motor.rank.data,93,"[9.78, 6.68]",吉利汽车,小型SUV,汽油,2024.07,4年或10万公里
宝马,宝马X5,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/bf84f7f297c74b4ab69467bef101e7e1~tplv-resize:640:0.png?psm=motor.rank.data,92,"[74.8, 59.8]",华晨宝马,中大型SUV,48V轻混系统,2026.01,3年或10万公里
特斯拉,Model 3,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/f1cb1d06a54f44e0a4b8c7eefd1791cd~tplv-resize:640:0.png?psm=motor.rank.data,89,"[33.95, 23.55]",特斯拉中国,中型车,纯电动,2025.10,4年或8万公里
ARCFOX极狐,极狐 阿尔法S5,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/5dbe7533a7384d43aff84fc56d4fde0d~tplv-resize:640:0.png?psm=motor.rank.data,88,"[17.78, 10.48]",北汽新能源,中型车,增程式,2026.03,3年或12万公里
比亚迪,宋Pro DM,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/8df8dbed439e443684adc6b758d97208~tplv-resize:640:0.png?psm=motor.rank.data,87,"[13.29, 10.28]",比亚迪,紧凑型SUV,插电式混合动力,2026.04,6年或15万公里
长安启源,长安启源A06,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/c105cba3fb9141b48adcdc62554539bd~tplv-resize:640:0.png?psm=motor.rank.data,84,"[14.99, 10.99]",长安启源,中大型车,纯电动,2026.04,6年或15万公里
比亚迪,海狮05EV,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/637cf9466226426097215c68f48731be~tplv-resize:640:0.png?psm=motor.rank.data,84,"[14.59, 11.78]",比亚迪,紧凑型SUV,纯电动,2026.04,6年或15万公里
极氪,ZEEKR 7X,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/5c1bfaaf6b9d448294c69698ce7cde5a~tplv-resize:640:0.png?psm=motor.rank.data,84,"[26.99, 22.98]",极氪,中型SUV,纯电动,2025.10,4年或10万公里
大众,途观L,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/531775569f224f82a4f363c9ae6461f7~tplv-resize:640:0.png?psm=motor.rank.data,84,"[26.68, 18.68]",上汽大众,中型SUV,汽油,2026.04,3年或10万公里
方程豹,钛7 PHEV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/3bb475c050b541e494e0fc3c10da4d40~tplv-resize:640:0.png?psm=motor.rank.data,83,"[21.98, 17.98]",方程豹,中大型SUV,插电式混合动力,2025.09,6年或15万公里
深蓝汽车,深蓝S05,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/7a0815248ed74d30931d95eb907b6b6a~tplv-resize:640:0.png?psm=motor.rank.data,83,"[14.99, 11.99]",深蓝汽车,紧凑型SUV,纯电动,2025.08,3年或12万公里
领克,领克03,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/08345fc4e121495babf272276402cf16~tplv-resize:640:0.png?psm=motor.rank.data,83,"[42.03, 12.18]",领克,紧凑型车,汽油,2025.10,4年或10万公里
