brand,carname,carimg,salevolume,price,manufacturer,carmodel,energytype,marketime,insure
特斯拉,Model Y,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/31b02aeb33334fb28e2c34dd81ed4528~tplv-resize:640:0.png?psm=motor.rank.data,2272,"[31.35, 26.35]",特斯拉中国,中型SUV,纯电动,2026.01,4年或8万公里
蔚来,蔚来ES8,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/4fcf3687c3ad4a38b35a6abdfbc9e0a0~tplv-resize:640:0.png?psm=motor.rank.data,1889,"[44.68, 40.68]",蔚来,大型SUV,纯电动,2025.09,3年或12万公里
理想汽车,理想i6,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/23bca80155b2406abca7b473c8e85691~tplv-resize:640:0.png?psm=motor.rank.data,1554,"[26.98, 24.98]",理想汽车,中大型SUV,纯电动,2025.09,5年或10万公里
小米汽车,小米YU7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/d7ff66203a754169bf75cb1f0f713420~tplv-resize:640:0.png?psm=motor.rank.data,1365,"[32.99, 25.35]",小米汽车,中大型SUV,纯电动,2025.06,5年或10万公里
奥迪AUDI,奥迪E5 Sportback,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/37b81ebeefd5406c9f7a3e8870c044b1~tplv-resize:640:0.png?psm=motor.rank.data,1219,"[31.99, 23.59]",上汽奥迪,中型车,纯电动,2025.09,3年或10万公里
特斯拉,Model 3,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/f1cb1d06a54f44e0a4b8c7eefd1791cd~tplv-resize:640:0.png?psm=motor.rank.data,1183,"[33.95, 23.55]",特斯拉中国,中型车,纯电动,2025.10,4年或8万公里
特斯拉,Model Y L,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/dea2fae378bf4e19aaff0632f93b1143~tplv-resize:640:0.png?psm=motor.rank.data,643,"[33.9, 33.9]",特斯拉中国,中大型SUV,纯电动,2025.08,4年或8万公里
奔驰,奔驰GLC,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/99afdf53229145caadf53e1be4f54ff5~tplv-resize:640:0.png?psm=motor.rank.data,510,"[46.28, 35.18]",北京奔驰,中型SUV,48V轻混系统,2026.04,3年不限公里
名爵,MG4,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/060d2565ceea40fca95c269f4a69aca6~tplv-resize:640:0.png?psm=motor.rank.data,499,"[10.28, 6.88]",上汽集团,紧凑型车,纯电动,2025.08,6年或15万公里
荣威,荣威D6,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/e34c796a4f9840eba2aaa732a41ec6d6~tplv-resize:640:0.png?psm=motor.rank.data,489,"[13.98, 9.98]",上汽集团,紧凑型车,纯电动,2025.04,6年或15万公里
埃安,AION Y,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/d382087dc4bd467f8951919c0b5f8334~tplv-resize:640:0.png?psm=motor.rank.data,487,"[14.58, 9.98]",广汽埃安新能源,紧凑型SUV,纯电动,2025.06,4年或15万公里
firefly萤火虫,firefly萤火虫,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/3552ee01219b490aad189f48f9ad7b2e~tplv-resize:640:0.png?psm=motor.rank.data,465,"[12.58, 11.98]",蔚来,小型车,纯电动,2026.04,4年或10万公里
宝马,宝马3系,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/8a3daca02bc04bfea188f572f278aaf6~tplv-resize:640:0.png?psm=motor.rank.data,451,"[39.99, 25.8]",华晨宝马,中型车,汽油,2026.01,3年或10万公里
大众,途观L,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/531775569f224f82a4f363c9ae6461f7~tplv-resize:640:0.png?psm=motor.rank.data,431,"[26.68, 18.68]",上汽大众,中型SUV,汽油,2026.04,3年或10万公里
极氪,ZEEKR 7X,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/5c1bfaaf6b9d448294c69698ce7cde5a~tplv-resize:640:0.png?psm=motor.rank.data,428,"[26.99, 22.98]",极氪,中型SUV,纯电动,2025.10,4年或10万公里
智己汽车,智己LS6,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/4dda84ada8c540bc86aa3324ecc3aa88~tplv-resize:640:0.png?psm=motor.rank.data,405,"[28.49, 21.29]",智己汽车,中大型SUV,增程式,2025.09,5年或15万公里
极氪,ZEEKR 9X,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/aa455b63a7a54255ad80d02ec31a7c1c~tplv-resize:640:0.png?psm=motor.rank.data,397,"[59.99, 46.59]",极氪,大型SUV,插电式混合动力,2025.09,6年或15万公里
宝马,宝马X3,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/fb1e7339815e45b8a6a0ed3751e70b39~tplv-resize:640:0.png?psm=motor.rank.data,390,"[44.99, 31.8]",华晨宝马,中型SUV,汽油,2026.01,3年或10万公里
比亚迪,海狮06EV,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/2f4d4de44df0441383cd118517635fda~tplv-resize:640:0.png?psm=motor.rank.data,370,"[17.99, 14.38]",比亚迪,中型SUV,纯电动,2026.03,6年或15万公里
别克,昂科威,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/dc18eb3ac0974de39301da05d78203e4~tplv-resize:640:0.png?psm=motor.rank.data,362,"[25.99, 22.99]",上汽通用别克,中型SUV,汽油,2025.09,3年或10万公里
丰田,卡罗拉锐放,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/ed29d140eaba4685b466b69482e34e3b~tplv-resize:640:0.png?psm=motor.rank.data,328,"[18.48, 12.68]",一汽丰田,紧凑型SUV,汽油,2025.10,3年或10万公里
乐道,乐道L60,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/f90673c17b5b41478cea7e8308ca1d05~tplv-resize:640:0.png?psm=motor.rank.data,322,"[25.59, 20.69]",蔚来,中型SUV,纯电动,2026.01,4年或10万公里
蔚来,蔚来ET5,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/021a6d4c02a74d718f7806e6c7239461~tplv-resize:640:0.png?psm=motor.rank.data,319,"[31.6, 29.8]",蔚来,中型车,纯电动,2026.04,3年或12万公里
别克,别克GL8,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/101a350c342f4960866dd96f321cacb8~tplv-resize:640:0.png?psm=motor.rank.data,318,"[36.99, 22.99]",上汽通用别克,中大型MPV,48V轻混系统,2025.09,3年或10万公里
奔驰,奔驰C级,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/e8abf034d5504085a9850c7b7632b065~tplv-resize:640:0.png?psm=motor.rank.data,318,"[38.06, 30.46]",北京奔驰,中型车,48V轻混系统,2025.11,3年不限公里
荣威,荣威D7 EV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/279198c170654088bb304d89cfc3d72f~tplv-resize:640:0.png?psm=motor.rank.data,302,"[20.08, 14.98]",上汽集团,中型车,纯电动,2024.11,6年或15万公里
小米汽车,小米SU7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/cbdad660b73c48808f6c6317e38738e2~tplv-resize:640:0.png?psm=motor.rank.data,302,"[30.39, 21.59]",小米汽车,中大型车,纯电动,2026.03,5年或10万公里
比亚迪,元UP,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/f3bd2e9744044187b726b05ecccdce42~tplv-resize:640:0.png?psm=motor.rank.data,292,"[11.98, 7.48]",比亚迪,小型SUV,纯电动,2025.07,6年或15万公里
大众,帕萨特,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/b4285df0389c47399c7f0fa8d52a8334~tplv-resize:640:0.png?psm=motor.rank.data,284,"[30.98, 16.45]",上汽大众,中型车,汽油,2025.09,3年或10万公里
乐道,乐道L90,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/40549fef476943459332a10fcac57537~tplv-resize:640:0.png?psm=motor.rank.data,276,"[31.68, 26.58]",蔚来,大型SUV,纯电动,2026.01,4年或10万公里
比亚迪,海豹06EV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/0f8f68edffef4a25801febb0c59ed9ec~tplv-resize:640:0.png?psm=motor.rank.data,275,"[12.98, 10.98]",比亚迪,中型车,纯电动,2025.06,6年或15万公里
小鹏汽车,小鹏MONA M03,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/382f7f8f3049446b9f096556e9f3175d~tplv-resize:640:0.png?psm=motor.rank.data,272,"[15.18, 11.98]",小鹏汽车,紧凑型车,纯电动,2026.04,5年或12万公里
奔驰,奔驰E级,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/9b08b1c3602645d7ad7574aeb71b6ce3~tplv-resize:640:0.png?psm=motor.rank.data,268,"[59.98, 37.88]",北京奔驰,中大型车,48V轻混系统,2026.04,3年不限公里
蔚来,蔚来ES6,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/feffe1ceb54d462ab4c050ad15104810~tplv-resize:640:0.png?psm=motor.rank.data,262,"[35, 33.8]",蔚来,中型SUV,纯电动,2026.04,3年或12万公里
AITO,问界M7,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/f0139587d2084e03a6a9ab6e8db0fcf7~tplv-resize:640:0.png?psm=motor.rank.data,256,"[38.98, 27.98]",赛力斯汽车,中大型SUV,纯电动,2025.09,4年或10万公里
比亚迪,海狮05EV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/a1e7a25db465482d97f57c3153fad07b~tplv-resize:640:0.png?psm=motor.rank.data,231,"[13.78, 11.78]",比亚迪,紧凑型SUV,纯电动,2025.03,6年或15万公里
奥迪,奥迪Q5L,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/0eb7058e774841969c92d987e64c09f5~tplv-resize:640:0.png?psm=motor.rank.data,230,"[39.98, 30.98]",一汽奥迪,中型SUV,油电混合,2026.01,3年或10万公里
奥迪,奥迪A3,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/2440a980eef1436cb95453dd91fbddb3~tplv-resize:640:0.png?psm=motor.rank.data,223,"[20.99, 16.59]",一汽奥迪,紧凑型车,汽油,2025.10,3年或10万公里
凯迪拉克,凯迪拉克XT5,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/a7afef1b740b4f6d9baf0c3d88671967~tplv-resize:640:0.png?psm=motor.rank.data,220,"[45.99, 37.99]",上汽通用凯迪拉克,中型SUV,48V轻混系统,2025.09,3年不限公里
丰田,凯美瑞,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/2aab00ba5d8d42378373ea6a304e0c3d~tplv-resize:640:0.png?psm=motor.rank.data,220,"[25.98, 17.18]",广汽丰田,中型车,汽油,2025.07,3年或10万公里
宝马,宝马X5,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/bf84f7f297c74b4ab69467bef101e7e1~tplv-resize:640:0.png?psm=motor.rank.data,219,"[74.8, 59.8]",华晨宝马,中大型SUV,48V轻混系统,2026.01,3年或10万公里
宝马,宝马X1,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/bb5e191acc9e4e7a8950d316b0b5f2f1~tplv-resize:640:0.png?psm=motor.rank.data,215,"[33.8, 25.8]",华晨宝马,紧凑型SUV,汽油,2026.01,3年或10万公里
极氪,ZEEKR 001,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/750b7836d2fa4303bb1831c88b379ddd~tplv-resize:640:0.png?psm=motor.rank.data,212,"[36.5, 26.98]",极氪,中大型车,纯电动,2025.10,4年或10万公里
宝马,宝马5系,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/b2840cd65c064d7a830adb574272813f~tplv-resize:640:0.png?psm=motor.rank.data,207,"[52.59, 36.8]",华晨宝马,中大型车,48V轻混系统,2026.02,3年或10万公里
长安启源,长安启源A07,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/4dfa9373364640268f0cb1d54bd87c3b~tplv-resize:640:0.png?psm=motor.rank.data,203,"[16.59, 11.99]",长安启源,中大型车,增程式,2025.09,3年或12万公里
比亚迪,元PLUS,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/0a5f95e3492e4cf6b15953b57949fe48~tplv-resize:640:0.png?psm=motor.rank.data,202,"[14.78, 11.58]",比亚迪,紧凑型SUV,纯电动,2025.03,6年或15万公里
大众,ID.ERA 9X,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/a5c1211bddc544ff8e4437ee2cd94b48~tplv-resize:640:0.png?psm=motor.rank.data,198,"[0, 0]",上汽大众,大型SUV,增程式,未知,未知
丰田,卡罗拉,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/ba722f1719804375b600d5c5a8de0640~tplv-resize:640:0.png?psm=motor.rank.data,195,"[15.58, 11.68]",一汽丰田,紧凑型车,汽油,2025.12,3年或10万公里
吉利汽车,缤越,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/1546bce3c7764e6b9a895274b29a019f~tplv-resize:640:0.png?psm=motor.rank.data,194,"[9.78, 6.68]",吉利汽车,小型SUV,汽油,2024.07,4年或10万公里
大众,途岳,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/c33c6674860948149e5d808e05ae222d~tplv-resize:640:0.png?psm=motor.rank.data,193,"[21.66, 12.59]",上汽大众,紧凑型SUV,汽油,2025.08,3年或10万公里
吉利汽车,星越L,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/588bea89ef084984b66a2ee353b261ff~tplv-resize:640:0.png?psm=motor.rank.data,188,"[17.97, 13.97]",吉利汽车,紧凑型SUV,汽油,2025.09,5年或15万公里
尚界,尚界H5,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/9042984641d64c9d9b95205313970475~tplv-resize:640:0.png?psm=motor.rank.data,186,"[19.98, 15.98]",上汽集团,中型SUV,增程式,2025.09,4年或10万公里
丰田,RAV4荣放PHEV,https://p9-dcd.byteimg.com/motor-mis-img/4fcf011be1ed190903989d9a4c87225d~tplv-resize:640:0.png?psm=motor.rank.data,184,"[29.78, 25.68]",一汽丰田,紧凑型SUV,插电式混合动力,2024.09,3年或10万公里
飞凡汽车,飞凡F7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/d3c1128436c342588263a40466dbaad0~tplv-resize:640:0.png?psm=motor.rank.data,180,"[20.69, 18.29]",飞凡汽车,中大型车,纯电动,2025.06,5年或12万公里
