brand,carname,carimg,salevolume,price,manufacturer,carmodel,energytype,marketime,insure
小米汽车,小米SU7,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/cbdad660b73c48808f6c6317e38738e2~tplv-resize:640:0.png?psm=motor.rank.data,1959,"[30.39, 21.59]",小米汽车,中大型车,纯电动,2026.03,5年或10万公里
特斯拉,Model Y,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/31b02aeb33334fb28e2c34dd81ed4528~tplv-resize:640:0.png?psm=motor.rank.data,1656,"[31.35, 26.35]",特斯拉中国,中型SUV,纯电动,2026.01,4年或8万公里
理想汽车,理想i6,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/23bca80155b2406abca7b473c8e85691~tplv-resize:640:0.png?psm=motor.rank.data,1296,"[26.98, 24.98]",理想汽车,中大型SUV,纯电动,2025.09,5年或10万公里
蔚来,蔚来ES8,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/4fcf3687c3ad4a38b35a6abdfbc9e0a0~tplv-resize:640:0.png?psm=motor.rank.data,973,"[44.68, 40.68]",蔚来,大型SUV,纯电动,2025.09,3年或12万公里
小米汽车,小米YU7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/d7ff66203a754169bf75cb1f0f713420~tplv-resize:640:0.png?psm=motor.rank.data,906,"[32.99, 25.35]",小米汽车,中大型SUV,纯电动,2025.06,5年或10万公里
特斯拉,Model 3,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/f1cb1d06a54f44e0a4b8c7eefd1791cd~tplv-resize:640:0.png?psm=motor.rank.data,899,"[33.95, 23.55]",特斯拉中国,中型车,纯电动,2025.10,4年或8万公里
特斯拉,Model Y L,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/dea2fae378bf4e19aaff0632f93b1143~tplv-resize:640:0.png?psm=motor.rank.data,686,"[33.9, 33.9]",特斯拉中国,中大型SUV,纯电动,2025.08,4年或8万公里
极氪,ZEEKR 9X,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/aa455b63a7a54255ad80d02ec31a7c1c~tplv-resize:640:0.png?psm=motor.rank.data,547,"[59.99, 46.59]",极氪,大型SUV,插电式混合动力,2025.09,6年或15万公里
比亚迪,宋Pro DM,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/a43ad8cbf8684f2b93e632546a8343cc~tplv-resize:640:0.png?psm=motor.rank.data,369,"[14.28, 10.28]",比亚迪,紧凑型SUV,插电式混合动力,2025.10,6年或15万公里
方程豹,钛7 PHEV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/3bb475c050b541e494e0fc3c10da4d40~tplv-resize:640:0.png?psm=motor.rank.data,356,"[21.98, 17.98]",方程豹,中大型SUV,插电式混合动力,2025.09,6年或15万公里
埃安,AION RT,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/e4498fa3f2bc49edb665eb140215e62c~tplv-resize:640:0.png?psm=motor.rank.data,320,"[12.88, 9.98]",广汽埃安新能源,紧凑型车,纯电动,2026.04,4年或15万公里
北京汽车,北京EU5,https://p3-dcd.byteimg.com/motor-mis-img/fac9641308c9c3c9b23765bdcbdd6697~tplv-resize:640:0.png?psm=motor.rank.data,299,"[17.19, 12.99]",北京汽车,紧凑型车,纯电动,2025.01,3年或12万公里
AITO,问界M7,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/f0139587d2084e03a6a9ab6e8db0fcf7~tplv-resize:640:0.png?psm=motor.rank.data,293,"[38.98, 27.98]",赛力斯汽车,中大型SUV,纯电动,2025.09,4年或10万公里
埃安,AION i60,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/371db0cffb5143d9a38f62f951730f40~tplv-resize:640:0.png?psm=motor.rank.data,283,"[13.58, 10.28]",广汽埃安新能源,紧凑型SUV,增程式,2026.03,4年或15万公里
